,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,603916,苏博特,0.15,,5.02,3.04,0.08,3431.9,,,10-23
1,603659,璞泰来,0.22,,2.92,7.68,0.06,7970.74,,,10-16
2,300707,威唐工业,0.24,-13.59,4.45,5.6,0.06,1427.78,-11.91,,09-20
3,603260,合盛硅业,0.45,,4.97,9.76,0.54,27129.6,,,09-19
4,002906,华阳集团,0.17,,5.88,2.85,,6866.98,,,09-18
5,603533,掌阅科技,0.1,,2.03,4.77,0.06,3568.97,,,08-30
6,002899,英派斯,0.17,,4.99,3.5,-0.19,1546.41,,,08-28
7,603277,银都股份,0.12,,2.04,5.95,-0.11,3944.15,,,08-21
8,603183,建研院,0.17,,5.15,3.38,-0.58,1129.99,,,08-15
9,300696,爱乐达,0.16,,5.69,2.81,0.22,815.82,,,08-09
10,300695,兆丰股份,0.61,,9.92,6.37,0.51,3059.9,,,08-07
11,002895,川恒股份,0.09,,4.29,1.97,-0.05,3153.78,,,08-07
12,002893,华通热力,1.25,,4.85,28.53,-2.42,11273.8,,,08-07
13,300693,盛弘股份,0.29,-17.14,,7.56,,1978.66,-17.37,,07-31
14,603129,春风动力,0.3,87.5,,7.36,,2964.77,88.23,,07-31
15,300688,创业黑马,0.02,-125.0,,0.44,,77.59,-119.59,,07-27
16,300691,联合光电,0.08,,6.14,1.35,-0.57,527.96,,,07-25
17,603978,深圳新星,0.35,6.06,,3.16,,2126.94,6.4,,07-24
18,603359,东珠景观,0.26,225.0,,3.57,,4439.76,208.22,,07-24
19,300687,赛意信息,0.25,,,5.55,,1517.02,9.65,,07-21
20,603860,中公高科,0.04,33.33,,0.61,,176.07,0.77,,07-19
21,300686,智动力,0.12,-14.29,,3.19,,1082.27,-16.29,,07-17
22,603387,基蛋生物,0.41,,,,,4089.75,43.68,,07-14
23,300682,朗新科技,0.0,-100.11,,0.0,,2.81,-100.09,,07-12
24,603357,设计总院,0.28,27.27,,8.36,,6898.57,29.5,,07-12
25,300681,英搏尔,0.4,48.15,,8.17,,2274.02,47.7,,07-12
26,300680,隆盛科技,0.13,0.0,,3.23,,659.63,1.07,,07-11
27,603233,大参林,0.33,3.13,,,,11723.91,2.26,,07-11
28,001965,招商公路,,,,,,80517.11,,,07-04
29,601326,秦港股份,0.06,,2.33,2.47,0.14,28668.39,,,07-04
30,300678,中科信息,-0.01,-54.91,,-0.33,,-110.18,-54.93,,07-04
31,002888,惠威科技,0.1,66.67,,,-0.08,626.95,67.63,,07-03
32,603617,君禾股份,0.32,18.52,3.29,10.2,0.38,2391.35,16.42,,06-30
33,300673,佩蒂股份,0.23,,,3.43,,1361.1,,,06-28
34,603938,三孚股份,0.32,52.38,,6.5,,3570.79,53.63,,06-27
35,300676,华大基因,0.26,23.81,,2.77,,9441.63,25.71,,06-27
36,002887,绿茵生态,0.6,11.11,,4.91,,3611.34,10.86,,06-27
37,300675,建科院,-0.06,-63.85,,-2.49,,-700.99,-63.84,,06-26
38,000511,*ST烯碳,-0.03,-4550.0,,-2.77,,-3089.17,-4676.71,,06-24
39,603595,东尼电子,0.23,155.56,,6.71,,1749.26,159.14,,06-22
40,300672,国科微,-0.32,-34.69,,-3.87,,-2692.27,-34.66,,06-20
41,603757,大元泵业,0.49,63.33,,9.22,,3100.86,67.03,,06-20
42,603730,岱美股份,0.38,,4.27,8.96,0.53,13788.31,,,06-19
43,603316,诚邦股份,,,,,,1582.99,89.12,,06-16
44,603331,百达精工,0.2,42.86,3.92,5.33,-0.12,1947.25,49.71,,06-15
45,603933,睿能科技,0.53,206.94,,10.07,,4088.93,207.44,,06-15
46,300670,大烨智能,0.04,-15.92,,,,334.0,-15.84,,06-14
47,603980,吉华集团,0.25,-73.85,5.1,4.9,0.22,10003.92,-73.83,,06-14
48,603326,我乐家居,-0.01,-80.0,,,,-175.69,-72.11,,06-14
49,300671,富满电子,0.11,,,3.02,,832.92,93.67,,06-14
50,002885,京泉华,0.25,66.67,,4.27,,1519.97,73.41,,06-13
51,603767,中马传动,,,,,,2251.32,2.94,,06-12
52,603801,志邦股份,0.17,51.07,,3.01,,2034.34,51.03,,06-12
53,300669,沪宁股份,0.1,25.0,,2.68,,602.26,14.53,,06-09
54,300667,必创科技,0.06,-300.0,3.22,1.73,-0.46,281.23,-315.37,,06-05
55,002882,金龙羽,0.06,0.0,,,,2119.24,1.43,,06-02
56,300668,杰恩设计,0.33,26.92,4.47,7.64,-0.53,1037.34,25.34,,06-02
57,603335,迪生力,0.08,,2.13,4.02,0.11,1478.85,-1.64,,06-01
58,603200,上海洗霸,0.22,21.28,6.94,3.24,0.69,1222.53,21.28,,05-31
59,002881,美格智能,0.09,,,3.1,,718.62,57.71,,05-31
60,300665,飞鹿股份,,,,,,128.1,471.33,,05-25
61,603226,菲林格尔,0.12,20.0,5.02,2.3,-0.43,750.57,19.94,,05-24
62,300666,江丰电子,0.06,50.0,,3.26,,958.97,62.64,,05-23
63,603879,永悦科技,0.08,0.0,,3.32,,882.15,7.88,,05-23
64,002879,长缆科技,0.23,-8.0,,3.21,,2331.48,-8.27,,05-22
65,603197,保隆科技,0.51,30.62,,,,4518.35,30.61,,05-18
66,300663,科蓝软件,-0.21,-36.36,,,,-2057.98,-36.79,,05-17
67,300662,科锐国际,0.09,80.0,,,,1164.95,70.41,,05-17
68,603496,恒为科技,0.23,,5.89,25.49,,1761.89,10.8,,05-16
69,601878,浙商证券,0.09,28.57,,2.72,,26392.13,33.2,,05-16
70,603269,海鸥股份,0.08,0.0,6.23,1.33,0.12,578.0,0.18,,05-16
71,603758,秦安股份,0.16,-15.79,,3.6,,6069.41,-13.67,,05-16
72,300652,雷迪克,0.25,56.25,4.39,5.86,0.15,1649.39,58.76,,05-15
73,603286,日盈电子,,,,,,716.5,12.69,,05-15
74,300653,正海生物,0.13,0.93,3.95,3.35,0.14,777.96,0.89,,05-15
75,002870,香山股份,0.25,38.89,,5.69,,2034.61,33.08,,05-12
76,002869,金溢科技,0.48,2.13,5.02,9.51,-1.37,4261.38,2.04,,05-12
77,601952,苏垦农发,0.17,21.43,3.37,5.23,0.2,13725.47,22.27,,05-12
78,603180,金牌厨柜,0.2,122.22,5.47,3.58,-1.01,1008.32,114.53,,05-11
79,300660,江苏雷利,,,,,,6067.51,21.42,,05-11
80,603113,金能科技,0.35,-1266.67,4.02,9.14,0.4,21039.87,-10826.45,,05-10
81,603086,先达股份,0.41,17.14,12.12,3.46,-1.02,2468.77,18.31,,05-10
82,002871,伟隆股份,0.21,23.53,5.49,3.55,,1096.0,24.85,,05-10
83,603926,铁流股份,0.3,15.38,5.85,5.35,-0.12,2742.48,18.67,,05-09
84,300658,延江股份,0.3,3.45,,8.0,,2218.29,3.28,,05-09
85,603728,鸣志电器,0.1,31.28,3.14,3.04,-0.02,2347.9,31.31,,05-08
86,300659,中孚信息,,,,,,-145.94,-39.39,,05-08
87,300651,金陵体育,0.03,6.13,6.13,0.57,-0.48,196.64,6.08,,05-08
88,603229,奥翔药业,0.1,0.0,,4.83,,1203.36,5.11,,05-08
89,300656,民德电子,0.17,5.32,3.89,4.45,-0.09,756.9,5.31,,05-05
90,002873,新天药业,0.3,,,5.08,,1539.39,,,05-04
91,300643,万通智控,0.06,50.0,1.39,3.84,0.07,850.3,57.11,,05-04
92,300649,杭州园林,0.11,22.22,3.81,3.04,-0.46,547.53,21.42,,05-04
93,603985,恒润股份,0.51,25.59,7.65,6.68,0.81,3042.07,25.59,,05-04
94,603855,华荣股份,0.04,100.0,2.97,1.13,-0.16,903.83,84.47,,05-03
95,603501,韦尔股份,0.1,25.0,2.22,4.32,0.19,3596.67,26.78,,05-03
96,300650,太龙照明,0.08,100.0,4.84,1.74,0.17,394.65,85.25,,05-02
97,300657,弘信电子,0.23,-560.0,6.27,3.79,0.34,1820.75,-578.25,,05-02
98,603505,金石资源,0.04,33.33,2.64,1.41,0.08,663.71,28.24,,05-02
