,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,603709,中源家居,0.66,,2.81,26.81,0.8,3988.31,,,01-25
1,603871,嘉友国际,1.89,58.74,8.01,26.72,-0.01,11334.28,58.76,,01-23
2,603156,养元饮品,2.02,-23.08,12.09,16.73,1.18,100029.05,-23.08,,01-22
3,603516,淳中科技,0.67,-48.06,3.53,18.77,-0.74,4719.15,10.11,,01-15
4,300739,明阳电路,0.64,,5.11,12.56,0.71,5918.01,,,01-15
5,603895,天永智能,0.66,,4.62,15.3,0.22,3805.7,,,01-08
6,300738,奥飞数据,0.67,28.85,4.9,14.61,0.75,3269.87,35.74,10派2.1,01-08
7,300737,科顺股份,0.24,-73.63,2.91,8.28,-0.06,10815.37,-40.14,,01-08
8,603356,华菱精工,0.32,-15.79,3.05,10.54,0.49,3181.03,-15.56,,01-03
9,002925,盈趣科技,1.16,,2.99,44.83,1.19,44018.56,,,12-26
10,300736,百华悦邦,0.51,-8.93,4.52,10.73,0.34,2095.09,-8.25,,12-26
11,601838,成都银行,0.51,,,7.4,4.19,165226.5,,,12-19
12,300664,鹏鹞环保,0.3,,5.31,5.82,0.09,12005.04,,,12-18
13,002923,润都股份,0.62,,5.93,10.98,0.6,4627.48,,,12-18
14,002921,联诚精密,0.39,,,5.59,0.07,2366.92,,,12-13
15,300624,万兴科技,0.58,,3.57,14.47,0.51,3466.78,,,12-13
16,002922,伊戈尔,0.39,,4.82,8.36,0.47,3836.01,,,12-12
17,603080,新疆火炬,0.35,-38.6,4.53,7.99,0.31,3687.89,-38.93,,12-12
18,603329,上海雅仕,0.36,,,9.55,-0.26,3565.92,,,12-12
19,300735,光弘科技,0.31,29.17,2.6,13.0,0.67,8200.0,46.0,,12-11
20,603655,朗博科技,0.21,,3.76,5.73,0.14,1673.81,,,12-11
21,300733,西菱动力,0.36,0.0,4.66,7.99,0.37,4294.21,-1.25,,12-06
