,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
998,600594,益佰制药,0.22,44.37,,4.71,,17239.9,187.8,,08-27
999,300018,中元股份,0.07,16.67,2.8,2.33,0.0,3133.86,170.41,,08-27
1000,000561,烽火电子,0.06,500.0,,3.46,,3602.45,505.28,,08-27
1001,002650,加加食品,0.09,-73.44,,5.17,,9791.73,-34.0,,08-27
1002,300088,长信科技,0.12,-36.84,3.18,3.8,0.15,13653.35,32.69,,08-27
1003,600375,华菱星马,-0.37,-7.5,,-8.07,,-20346.17,-7.57,,08-27
1004,000716,黑芝麻,0.03,-74.22,,1.22,,2132.32,-47.03,,08-27
1005,300509,新美星,0.41,0.0,6.83,6.73,-0.16,2711.27,9.3,,08-27
1006,600439,瑞贝卡,0.08,-9.32,,3.27,,7623.49,-9.28,,08-27
1007,600079,人福医药,0.33,-35.29,,5.31,,42695.36,42.34,,08-27
1008,002152,广电运通,0.24,-36.84,,5.74,,35644.71,3.28,,08-27
1009,300249,依米康,0.02,-140.0,1.63,1.23,0.07,1094.2,-215.34,,08-27
1010,002505,大康农业,0.0,-55.0,,0.17,,1000.33,-13.77,,08-27
1011,000029,深深房A,0.13,-27.73,,5.62,,13476.11,-27.71,,08-27
1012,600582,天地科技,0.07,-73.08,,2.15,,28908.04,-45.59,,08-27
1013,603322,超讯通信,0.16,23.08,,3.89,,949.39,17.32,,08-27
1014,600207,安彩高科,0.0,-101.3,,0.15,,121.04,-101.27,,08-27
1015,300007,汉威科技,0.15,-31.82,4.26,3.49,0.16,4297.1,31.63,,08-27
1016,600225,*ST松江,-0.52,17.38,,-29.62,,-48624.09,31.93,,08-27
1017,600616,金枫酒业,0.07,0.0,,1.77,,3495.95,-5.96,,08-27
1018,000955,欣龙控股,-0.02,-37.96,,-1.92,,-1176.5,-38.12,,08-27
1019,603399,吉翔股份,-0.09,-52.63,,-2.6,,-4723.95,-28.48,,08-27
1020,000524,岭南控股,0.08,-9.2,,3.52,,2126.45,-9.7,,08-27
1021,600679,上海凤凰,0.04,-387.76,,1.39,,1701.59,-427.9,,08-27
1022,601519,*ST智慧,-0.12,-5850.0,,-9.05,,-22902.1,-7568.47,,08-27
1023,002350,北京科锐,0.08,37.83,,1.65,,1804.55,45.84,,08-27
1024,600713,南京医药,0.09,1.11,,3.48,,8140.18,1.08,,08-27
1025,300109,新开源,0.25,13.64,6.97,3.6,0.23,4263.72,64.8,,08-27
1026,300448,浩云科技,-0.19,-258.33,2.65,-6.68,-0.54,-3762.52,-563.24,,08-27
1027,002382,蓝帆医疗,0.2,-41.18,,7.9,,9894.72,20.52,,08-27
1028,603737,三棵树,0.43,0.0,,5.49,,3410.71,6.64,,08-27
1029,002703,浙江世宝,0.12,7.7,,2.66,,3886.74,7.64,,08-27
1030,300465,高伟达,0.04,-69.23,5.53,0.63,-0.58,472.69,-65.12,10转22,08-27
1031,002722,金轮股份,0.38,80.95,,4.52,,6316.7,120.23,,08-27
1032,000681,视觉中国,0.1,39.92,,3.31,,6995.37,46.19,,08-27
1033,600780,通宝能源,0.07,-60.14,,1.78,,8407.5,-60.12,,08-27
1034,600798,宁波海运,0.01,29.17,,0.24,,637.51,44.94,,08-27
1035,600084,中葡股份,-0.04,-7.49,,-1.94,,-4715.19,-7.52,,08-27
1036,600477,杭萧钢构,0.27,602.56,,12.65,,22126.56,683.03,,08-27
1037,600496,精工钢构,0.06,-26.24,,2.65,,9467.6,-26.22,,08-27
1038,000797,中国武夷,0.09,-50.0,,2.24,,4002.15,-44.07,,08-27
1039,002510,天汽模,0.1,-50.0,,4.88,,8245.16,1.02,,08-27
1040,000035,中国天楹,0.06,-47.18,,3.82,,7197.55,7.94,,08-27
1041,000059,华锦股份,0.57,281.08,,9.73,,90519.78,281.15,,08-27
1042,600587,新华医疗,0.23,-32.35,,2.87,,9419.24,-32.0,,08-27
1043,000917,电广传媒,0.1,0.0,,1.25,,13507.19,-8.5,,08-27
1044,300012,华测检测,0.02,-79.0,1.84,1.13,0.0,1613.33,-58.81,,08-27
1045,601007,金陵饭店,0.06,14.0,,1.21,,1712.7,13.34,,08-27
1046,300028,金亚科技,0.02,-105.84,0.99,1.89,0.0,646.34,-107.54,,08-27
1047,603456,九洲药业,0.15,-72.22,,1.51,,3804.44,-65.99,,08-27
1048,000548,湖南投资,0.09,944.44,,3.11,,4690.77,973.91,,08-27
1049,001696,宗申动力,0.15,-12.51,,4.61,,17219.44,-12.52,,08-27
1050,002002,鸿达兴业,0.11,-51.86,,7.87,,27603.63,35.66,,08-27
1051,601226,华电重工,0.01,-91.88,,0.35,,1309.3,-91.86,,08-27
1052,300389,艾比森,0.19,-30.56,2.77,6.85,-0.14,6076.44,37.6,,08-27
1053,603598,引力传媒,0.07,-68.18,,3.44,,1953.88,-18.34,,08-27
1054,000598,兴蓉环境,0.16,6.67,,5.59,,47024.09,7.88,,08-27
1055,600718,东软集团,0.08,14.29,,1.4,,9347.75,3.73,,08-27
1056,000637,茂化实华,0.01,-90.32,,0.57,,488.33,-89.94,,08-27
1057,300453,三鑫医疗,0.12,-68.29,3.37,3.59,0.06,1913.2,-19.92,,08-27
1058,300470,日机密封,0.68,-19.05,15.81,4.38,0.44,3613.43,8.1,,08-27
1059,300486,东杰智能,-0.21,-175.0,4.88,-4.15,-0.01,-2886.94,-198.93,,08-27
1060,300227,光韵达,0.0,-98.75,2.66,0.11,0.04,40.83,-98.73,,08-27
1061,002162,悦心健康,-0.0,-75.0,,-0.45,,-370.79,-67.92,,08-27
1062,600858,银座股份,0.11,-42.71,,1.83,,5517.84,-42.72,,08-27
1063,603123,翠微股份,0.09,-37.41,,1.56,,4553.63,-37.67,,08-27
1064,600519,贵州茅台,7.01,1.45,,12.88,,880263.71,11.59,,08-27
1065,600874,创业环保,0.17,30.77,,5.3,,23668.3,30.45,,08-27
1066,002194,武汉凡谷,0.04,-47.29,,1.0,,2051.54,-46.97,,08-27
1067,000040,东旭蓝天,0.17,325.0,,5.86,,8048.99,290.61,,08-27
1068,300001,特锐德,0.09,-10.0,2.55,3.49,-0.62,9503.86,11.63,,08-27
1069,000922,*ST佳电,-0.43,437.5,,-10.49,,-23106.62,360.16,,08-27
1070,000967,盈峰环境,0.24,102.92,,3.53,,11807.11,231.37,,08-27
1071,002291,星期六,0.05,-31.01,,1.21,,2015.65,-25.41,,08-27
1072,600647,同达创业,0.54,14.19,,24.42,,7537.73,14.2,,08-27
1073,300049,福瑞股份,0.17,-39.29,5.15,3.2,0.26,4357.63,21.57,,08-27
1074,300071,华谊嘉信,0.09,12.5,1.65,5.78,-0.14,6462.14,22.58,,08-27
1075,601238,广汽集团,0.62,129.63,,9.77,,398138.32,127.49,10派0.8,08-27
1076,600689,上海三毛,-0.09,56.36,1.55,-5.42,,-1738.46,56.24,,08-27
1077,300087,荃银高科,-0.02,76.99,1.93,-1.07,-0.03,-639.48,78.26,,08-27
1078,600706,曲江文旅,0.24,60.0,,4.98,,4254.57,56.5,,08-27
1079,002055,得润电子,0.12,-4.44,,3.1,,5328.8,0.89,,08-27
1080,002229,鸿博股份,-0.06,178.95,,-2.2,,-1896.5,179.52,,08-27
1081,600650,锦江投资,0.23,11.0,,3.78,,12784.13,11.15,,08-27
1082,603601,再升科技,0.2,91.55,,6.32,,3034.53,105.63,,08-27
1083,600313,农发种业,0.01,54.17,,0.46,,805.41,358.92,,08-27
1084,600331,宏达股份,0.01,-127.13,,0.55,,2526.96,-127.19,,08-27
1085,000671,阳光城,0.04,-84.0,,1.41,,17107.37,-46.35,,08-27
1086,300489,中飞股份,0.12,-74.46,9.75,2.49,-0.62,1086.75,-31.9,,08-27
1087,600790,轻纺城,0.2,25.0,,5.23,,21063.82,23.36,,08-27
1088,600807,天业股份,0.08,-27.27,,3.78,,6850.23,8.06,,08-27
1089,300214,日科化学,0.11,-8.33,3.27,3.33,-0.13,4446.17,-10.66,,08-27
1090,300230,永利股份,0.26,47.37,5.12,5.2,0.11,5389.32,78.86,,08-27
1091,000807,云铝股份,0.03,-160.0,,0.9,,5099.3,-167.77,,08-27
1092,600861,北京城乡,0.13,4.24,,1.74,,4053.12,4.29,,08-27
1093,000828,东莞控股,0.39,-2.41,,8.45,,40414.38,-2.42,,08-27
1094,300262,巴安水务,0.22,53.85,2.02,10.01,-0.4,8180.65,101.39,,08-27
1095,600894,广日股份,0.38,-6.06,,5.01,,33075.74,-6.05,,08-27
1096,300278,华昌达,0.11,0.0,2.82,4.14,-0.05,6239.89,3.26,,08-27
1097,600167,联美控股,0.46,-26.08,,16.22,,31576.07,138.24,,08-27
1098,600190,锦州港,0.01,-77.22,,0.43,,2508.84,-77.33,,08-27
