,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
105,300017,网宿科技,,,,,,,
106,300084,海默科技,,,,,,,
107,300117,嘉寓股份,,,,,,,
108,300155,安居宝,,,,,,,
109,300197,铁汉生态,,,,,,,
110,300228,富瑞特装,,,,,,,
111,300286,安科瑞,,,,,,,
112,300334,津膜科技,,,,,,,
113,300369,绿盟科技,,,,,,,
114,300445,康斯特,,,,,,,
115,300467,迅游科技,,,,,,,
116,603003,龙宇燃油,,,,,,,
117,603328,依顿电子,,,,,,,
118,000058,深赛格,,,,,,,
119,000158,常山北明,,,,,,,
120,000931,中关村,,,,,,,
121,000976,华铁股份,,,,,,,
122,002035,华帝股份,,,,,,,
123,002062,宏润建设,,,,,,,
124,002139,拓邦股份,,,,,,,
125,002206,海利得,,,,,,,
126,002249,大洋电机,,,,,,,
127,002272,川润股份,,,,,,,
128,002288,超华科技,,,,,,,
129,002484,江海股份,,,,,,,
130,002527,新时达,,,,,,,
131,002566,益盛药业,,,,,,,
132,002599,盛通股份,,,,,,,
133,002639,雪人股份,,,,,,,
134,002687,乔治白,,,,,,,
135,002891,中宠股份,,,,,,,
136,300014,亿纬锂能,,,,,,,
137,300080,易成新能,,,,,,,
138,300116,坚瑞沃能,,,,,,,
139,300144,宋城演艺,,,,,,,
140,300223,北京君正,,,,,,,
141,300282,汇冠股份,,,,,,,
142,300333,兆日科技,,,,,,,
143,300359,全通教育,,,,,,,
144,300422,博世科,,,,,,,
145,300463,迈克生物,,,,,,,
146,300602,飞荣达,,,,,,,
147,300691,联合光电,,,,,,,
148,600220,江苏阳光,,,,,,,
149,603458,勘设股份,,,,,,,
150,000012,南玻A,,,,,,,
151,000100,TCL集团,,,,,,,
152,000413,东旭光电,,,,,,,
153,000595,*ST宝实,,,,,,,
154,000637,茂化实华,,,,,,,
155,000731,四川美丰,,,,,,,
156,000768,中航飞机,,,,,,,
157,000802,北京文化,,,,,,,
158,000851,高鸿股份,,,,,,,
159,000920,南方汇通,,,,,,,
160,000975,银泰资源,,,,,,,
161,002008,大族激光,,,,,,,
162,002056,横店东磁,,,,,,,
163,002136,安纳达,,,,,,,
164,002182,云海金属,,,,,,,
165,002205,国统股份,,,,,,,
166,002247,帝龙文化,,,,,,,
167,002267,陕天然气,,,,,,,
168,002287,奇正藏药,,,,,,,
169,002369,卓翼科技,,,,,,,
170,002431,棕榈股份,,,,,,,
171,002483,润邦股份,,,,,,,
172,002497,雅化集团,,,,,,,
173,002548,金新农,,,,,,,
174,002591,恒大高新,,,,,,,
175,002630,华西能源,,,,,,,
176,002683,宏大爆破,,,,,,,
177,002718,友邦吊顶,,,,,,,
178,002829,星网宇达,,,,,,,
179,002862,实丰文化,,,,,,,
180,300478,杭州高新,,,,,,,
181,300522,世名科技,,,,,,,
182,300707,威唐工业,,,,,,,
183,600220,江苏阳光,,,,,,,
184,603458,勘设股份,,,,,,,
185,000012,南玻A,,,,,,,
186,000100,TCL集团,,,,,,,
187,000413,东旭光电,,,,,,,
188,000595,*ST宝实,,,,,,,
189,000637,茂化实华,,,,,,,
190,000731,四川美丰,,,,,,,
191,000768,中航飞机,,,,,,,
192,000802,北京文化,,,,,,,
193,000851,高鸿股份,,,,,,,
194,000920,南方汇通,,,,,,,
195,000975,银泰资源,,,,,,,
196,002008,大族激光,,,,,,,
197,002056,横店东磁,,,,,,,
198,002136,安纳达,,,,,,,
199,002182,云海金属,,,,,,,
200,002205,国统股份,,,,,,,
201,002247,帝龙文化,,,,,,,
202,002267,陕天然气,,,,,,,
203,002287,奇正藏药,,,,,,,
204,002369,卓翼科技,,,,,,,
205,002431,棕榈股份,,,,,,,
206,002483,润邦股份,,,,,,,
207,002497,雅化集团,,,,,,,
208,002548,金新农,,,,,,,
209,002591,恒大高新,,,,,,,
210,002630,华西能源,,,,,,,
211,002683,宏大爆破,,,,,,,
212,002718,友邦吊顶,,,,,,,
213,002829,星网宇达,,,,,,,
214,002862,实丰文化,,,,,,,
215,300009,安科生物,,,,,,,
216,300070,碧水源,,,,,,,
217,300108,吉药控股,,,,,,,
218,300136,信维通信,,,,,,,
219,300166,东方国信,,,,,,,
220,300218,安利股份,,,,,,,
221,300238,冠昊生物,,,,,,,
222,300322,硕贝德,,,,,,,
223,300355,蒙草生态,,,,,,,
224,300421,力星股份,,,,,,,
225,300462,华铭智能,,,,,,,
226,300602,飞荣达,,,,,,,
227,300691,联合光电,,,,,,,
